"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
part_inclusion_tab,informations_du_participant,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.047%;"" border=""1""> <tbody> <tr> <td style=""width: 99.9294%; text-align: left;"" colspan=""2"">COCHEZ LES CRITÈRES PRÉSENTS</td> </tr> <tr> <td style=""width: 99.9294%; text-align: left;"" colspan=""2"">{part_inclusion7}</td> </tr> </tbody> </table></div>",,,,,,,"[part_inclusion5] = '1'",,,,,,
part_inclusion_tab_2,informations_du_participant,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.047%;"" border=""1""> <tbody> <tr> <td style=""width: 99.9294%; text-align: left;"" colspan=""2"">COCHEZ LES CRITÈRES PRÉSENTS</td> </tr> <tr> <td style=""text-align: left; width: 99.9294%;"" colspan=""2"">{part_inclusion9}</td> </tr> </tbody> </table></div>",,,,,,,"[part_inclusion5] = '2'",,,,,,
part_exlcu,informations_du_participant,,checkbox,"Valider les critères suivants","1, Le Test COVID  du participant doit être NÉGATIF. | 2, Un traitement aigue de corticostéroïdes ne doit PAS être débuté. | 3, Pas de tabagisme actif. | 4, Le participant n'a pas une maladie pulmonaire obstructive chronique définie par tous les éléments suivants: a) Âgé de 40 ans et + b) Obstruction fixe à la spirométrie (VEMS/CVF < 0.7) et c) ˃10PA d'histoire tabagique ou déficience en alpha-1-antitrypsine. | 5, Le participant ne doit pas avoir de pathologies affectant la structure et/ou le parenchyme pulmonaire. | 6, Le participant ne doit pas avoir de maladie cardiaque instable. | 7, Le participant ne doit pas avoir de maladie immune, une condition ou une médication pouvant affecter une réponse inflammatoire selon l'investigateur. | 8, Le participant ne doit pas avoir une thérapie de maintenance aux corticostéroïdes oraux (prednisone, prednisolone, triamcinolone). | 9, Le participant n'est pas sous biologique pour son asthme (mepolizumab, benralizumab, reslizumab, omalizumab, dupilumab, tezepelumab | 10, Participante n'est pas enceinte. | 11, Le participant n'a pas de contre-indication à l'usage de corticostéroïdes oraux.",,,,,,"[part_inclusion5] = '1' or [part_inclusion5] = '2'",,LV,,,,
part_initiales,informations_du_participant,INFORMATIONS,text,Initiales,,,alpha_only,,,,,y,,,,,
part_centre,informations_du_participant,,radio,"Centre de recrutement","1, CHUS (Sherbrooke) | 2, IUCPQ (Québec) | 3, MUHC (McGill)",,,,,,,y,,,,,
date_v1,informations_du_participant,,text,"Date de la visite 1",,,date_ymd,,,,,y,,,,,
part_age,informations_du_participant,,text,"Âge au jour de la visite",,,integer,0,99,,,y,,,,,
part_tableau_imc,informations_du_participant,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%;""> <tbody> <tr> <td style=""width: 16.289%;"">Poids (Kg)</td> <td style=""width: 16.5722%;"">{part_poids}</td> <td style=""width: 16.1473%;"">Taille (cm)</td> <td style=""width: 16.4306%;"">{part_taille}</td> <td style=""width: 14.4358%;"">IMC (10<sup>9</sup>/litre)</td> <td style=""width: 20.1251%;""> <p>{part_imc}</p> </td> </tr> <tr> <td style=""width: 16.289%;""> </td> <td style=""width: 16.5722%;""> </td> <td style=""width: 16.1473%;""> </td> <td style=""width: 16.4306%;""> </td> <td style=""width: 14.4358%;""> </td> <td style=""width: 20.1251%;""> </td> </tr> <tr> <td style=""width: 16.289%;""> </td> <td style=""width: 16.5722%;""> </td> <td style=""width: 16.1473%;""> </td> <td style=""width: 16.4306%;""> </td> <td style=""width: 14.4358%;""> </td> <td style=""width: 20.1251%;""> </td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
part_poids,informations_du_participant,,text,"Poids (Kg)",,,number,,,,,y,,,,,
part_taille,informations_du_participant,,text,"Taille (cm)",,,number,,,,,y,,,,,
part_imc,informations_du_participant,,calc,IMC,"round([part_poids]*10000/([part_taille]*[part_taille]),1)",,,,,,,,,,,,
part_sexe,informations_du_participant,,radio,"Sexe assigné à la naissance, inscrit sur votre certificat de naissance","1, Femme | 2, Homme",,,,,,,y,,,,,
part_genre,informations_du_participant,,radio,"Genre auquel s'identifie le participant","1, Femme | 2, Homme | 3, Transgenre | 4, Bispirituel (two-spirit), (si Première Nation) | 5, Autre",,,,,,,y,,,,,
part_autoch,informations_du_participant,,radio,"Appartenance autochtone","1, Aucune | 2, Première Nation | 3, Métis | 4, Inuk (Inuit)",,,,,,,y,RH,,,,
part_popul,informations_du_participant,,radio,"Groupe de population","1, Blanc | 2, Sud-Asiatique | 3, Chinois | 4, Noir | 5, Philippin | 6, Arabe | 7, Latino-Américain | 8, Asiatique du Sud-Est | 9, Asiatique occidental | 10, Coréen | 11, Japonais | 12, Autre",,,,,,"[part_autoch] = '1'",,,,,,
part_popul_autre,informations_du_participant,,text,"Autre population, précisez",,,,,,,"[part_popul] = '12'",,,,,,
part_travail,informations_du_participant,,text,Travail,,,,,,,,,,,,,
part_asth_travail,informations_du_participant,,dropdown,"Asthme relié au travail","1, Non | 2, Asthme occupationnel (induit par une exposition professionnelle) | 3, Asthme aggravé par le travail",,,,,,"[part_type] = '1'",,,,,,
part_v_consentement,informations_du_participant,CONSENTEMENTS,text,"Numéro de la version du  FIC PRISMA",,,integer,,,,,,,,,,
part_bbchus,informations_du_participant,,radio,"Participant accepte de participer à BB-CHUS","1, OUI | 2, NON",,,,,,,y,RH,,,,
part_v_bbchus,informations_du_participant,,text,"Numéro de la version du FIC de BB-CHUS",,,integer,,,,"[part_bbchus] = '1'",,RH,,,,
part_new_projet,informations_du_participant,,radio,"Participant accepte d'être contacté pour d'autres projets de recherche","1, OUI | 0, NON",,,,,,,,RH,,,,
part_com,informations_du_participant,COMMENTAIRES,notes,,,,,,,,,,LH,,,,
his_diag,histoire,,text,"Année du diagnostic d'asthme",,,number,1900,9999,,,,,,,,
his_nais,histoire,,text,"Année de naissance",,,number,,9999,,,,,,,,
his_age_diag,histoire,,calc,"Âge au diagnostic",[his_diag]-[his_nais],,,,,,,,,,,,
his_annee,histoire,,text,"Année en cours",,"ex: 2022",number,,9999,,,,,,,,
his_dur_diag,histoire,,calc,"Durée du diagnostic",[his_annee]-[his_diag],,,,,,,,,,,,
his_diag_tab,histoire,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 74.717%; height: 120px; margin-left: auto; margin-right: auto;"" border=""1""> <tbody> <tr> <td style=""width: 50.001%;"">Année de naissance</td> <td style=""width: 50.001%; text-align: center;"">{his_nais}</td> </tr> <tr> <td style=""width: 50.001%;"">Année du diagnostic</td> <td style=""width: 50.001%; text-align: center;"">{his_diag}</td> </tr> <tr> <td style=""width: 50.001%;"">Âge au diagnostic</td> <td style=""width: 50.001%; text-align: center;"">{his_age_diag}</td> </tr> <tr> <td style=""width: 50.001%;"">Année en cours</td> <td style=""width: 50.001%; text-align: center;"">{his_annee}</td> </tr> <tr> <td style=""width: 50.001%;"">Durée du diagnostic</td> <td style=""width: 50.001%; text-align: center;"">{his_dur_diag}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
his_crises,histoire,"NOMBRE DE CRISE D'ASTHME SÉVÈRE AU COURS DES 12 DERNIERS MOIS",radio,"Est-ce que le participant a eu des crises d'asthme au cours de cette période?","0, NON | 1, OUI",,,,,,,,RH,,,,
his_crise_tab,histoire,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 49.2434%;"">Nombre de crise d'asthme sans changement de médication</td> <td style=""width: 49.2434%;"">{his_crise_xrx}</td> </tr> <tr> <td style=""width: 49.2434%;"">Nombre de crise d'asthme traitée(s) avec une augmentation de CSI/médication de base</td> <td style=""width: 49.2434%;"">{his_crise_augrx}</td> </tr> <tr> <td style=""width: 49.2434%;"">Nombre de crise d'asthme traitée par ≥ 3 jours de corticostéroïdes systémiques seulement</td> <td style=""width: 49.2434%;"">{his_crise_corti}</td> </tr> <tr> <td style=""width: 49.2434%;"">Nombre de crise traitéepar antibiotiques seulement</td> <td style=""width: 49.2434%;"">{his_crise_antibio}</td> </tr> <tr> <td style=""width: 49.2434%;"">Nombre de crise traitée par combinaison de corticostéroïdes systémiques et antibiotiques</td> <td style=""width: 49.2434%;"">{his_crise_combi}</td> </tr> <tr> <td style=""width: 49.2434%;"">Nombre de crise sans information disponible au dossier</td> <td style=""width: 49.2434%;"">{his_crise_xinfo}</td> </tr> <tr> <td style=""width: 49.2434%;"">Total</td> <td style=""width: 49.2434%;"">{his_crise_total}</td> </tr> </tbody> </table></div>",,,,,,,"[his_crises] = '1'",,,,,,
his_crise_xrx,histoire,,text,"Nombre de crises d'asthme sans changement de médication",,"Indiquer une valeur numérique",integer,0,,,,y,,,,,
his_crise_augrx,histoire,,text,"Nombre de crises  d'asthme traitée avec une augmentation des CSI/médication de base",,"Indiquer une valeur numérique",integer,0,,,,y,,,,,
his_crise_corti,histoire,,text,"Nombre de crise traitées par ≥ 3 jours de corticostéroïdes systémiques seulement",,"Indiquer une valeur numérique",integer,0,,,,y,,,,,
his_crise_antibio,histoire,,text,"Nombre de crises traitée(s) par antibiotiques seulement",,"Indiquer une valeur numérique",integer,0,,,,y,,,,,
his_crise_combi,histoire,,text,"Nombre de crises traitée(s) par combinaison de corticostéroïdes systémiques et antibiotiques",,"Indiquer une valeur numérique",integer,0,,,,y,,,,,
his_crise_xinfo,histoire,,text,"Nombre de crises sans information disponible au dossier",,"Indiquer une valeur numérique",integer,0,,,,y,,,,,
his_crise_total,histoire,,calc,,[his_crise_xrx]+[his_crise_augrx]+[his_crise_corti]+[his_crise_antibio]+[his_crise_combi]+[his_crise_xinfo],,,,,,,,,,,,
his_visite,histoire,"NOMBRE DE VISITE(S) POUR VOTRE ASTHME, AU COURS DES 12 DERNIERS MOIS",radio,"Est-ce que le participant a eu des visites/suivi(s) imprévu(s) au cours de cette période?","0, NON | 1, OUI",,,,,,,,RH,,,,
his_visite_tab,histoire,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9717%;"" border=""1""> <tbody> <tr> <td style=""width: 13.7532%; text-align: center;""> Par consultation téléphonique</td> <td style=""width: 16.1389%; text-align: center;""><span style=""color: #236fa1;"">Nombre</span> {his_consul_tel}</td> <td style=""width: 15.8583%; text-align: center;"">À l'urgence (excluant celle(s) menant à une hospitalisation)</td> <td style=""width: 21.1911%;""> <p style=""text-align: center;""><span style=""color: #236fa1;"">Nombre</span> {his_visite_urgence}</p> </td> <td style=""width: 15.4372%; text-align: center;"">Hospitalisation menant aux soins aux intensifs</td> <td style=""width: 17.823%; text-align: center;""><span style=""color: #236fa1;"">Nombre</span> {his_hospit_si}</td> </tr> <tr> <td style=""width: 13.7532%; text-align: center;"">À la clinique sans rendez-vous (excluant cette visite)</td> <td style=""width: 16.1389%; text-align: center;""> <p style=""text-align: center;""><span style=""color: #236fa1;"">Nombre </span>{his_visite_xrdv}</p> </td> <td style=""width: 15.8583%; text-align: center;"">À l'urgence  menant à une hospitalisation</td> <td style=""width: 21.1911%; text-align: center;""><span style=""color: #236fa1;"">Nombre</span> {his_visite_urgence_2}</td> <td style=""width: 15.4372%;"">Hospitalisation avec intubation</td> <td style=""width: 17.823%; text-align: center;""><span style=""color: #236fa1;"">Nombre</span> {his_hospit_intub}</td> </tr> </tbody> </table></div>",,,,,,,"[his_visite] = '1'",,,,,,
his_consul_tel,histoire,,text,"Par consultation téléphonique",,"Indiquer une valeur numérique",integer,,,,,y,,,,,
his_visite_xrdv,histoire,,text,"À la clinique sans rendez-vous (excluant cette visite)",,"Indiquer une valeur numérique",integer,0,,,,y,,,,,
his_visite_urgence,histoire,,text,"À l'urgence (excluant celles menant à une hospitalisation)",,"Indiquer une valeur numérique",integer,0,,,,y,,,,,
his_visite_urgence_2,histoire,,text,"À l'urgence menant à une hospitalisation",,"Indiquer une valeur numérique",integer,0,,,,y,,,,,
his_hospit_si,histoire,,text,"Nombre d'hospitalisation menant aux soins intensifs",,"Indiquer une valeur numérique",integer,0,,,,y,,,,,
his_hospit_intub,histoire,,text,"Nombre d'hospitalisation avec intubation",,"Indiquer une valeur numérique",integer,0,,,,y,,,,,
his_intensif_vie,histoire,"SOINS INTENSIFS ET INTUBATION AU COURS DE VOTRE VIE",radio,"Soins intensifs pour asthme","1, Oui | 0, Non",,,,,,,y,RH,,,,
his_intubation_vie,histoire,,radio,"Intubation pour asthme","1, Oui | 0, Non",,,,,,,,RH,,,,
his_si_int_tab,histoire,"SOINS INTENSIFS ET INTUBATION",descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9717%;"" border=""1""> <tbody> <tr> <td style=""width: 49.9761%;""> </td> <td style=""width: 49.9761%; text-align: center;"">AU COURS DE VOTRE VIE</td> </tr> <tr> <td style=""width: 49.9761%;"">SOINS INTENSIF (pour asthme)</td> <td style=""width: 49.9761%; text-align: center;"">{his_intensif_vie}</td> </tr> <tr> <td style=""width: 49.9761%;"">INTUBATION (pour asthme)</td> <td style=""width: 49.9761%; text-align: center;"">{his_intubation_vie}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
his_eczema,histoire,"HISTOIRE PERSONNELLE",checkbox,"Eczema (dermatite atopique)","1, Jamais | 2, Ancienne | 3, Actuelle",,,,,,,y,,,personnelle,,
his_sinusite,histoire,,checkbox,"Sinusite chronique","1, Jamais | 2, Ancienne | 3, Actuelle",,,,,,,y,,,personnelle,,
his_all_ali,histoire,,checkbox,"Allergie alimentaire d'allure IgE-médiée (urticaire et ou angiooedème associés)","1, Jamais | 2, Ancienne | 3, Actuelle",,,,,,,y,,,personnelle,,
his_rhinite,histoire,,checkbox,"Rhinite allergique","1, Jamais | 2, Ancienne | 3, Actuelle; saisonnière | 4, Actuelle; continue (perennial)",,,,,,,y,,,,,
his_polypose,histoire,,checkbox,"Polypose nasale","1, Jamais | 2, Ancienne | 3, Actuelle",,,,,,,y,,,,,
his_chir_polypose,histoire,,text,"Nombre de chirurgies pour polypose nasale ",,,integer,0,,,"[his_polypose(2)] = '1'",,,,,,
his_diag_aos,histoire,,radio,"Diagnostique d'apnée du sommeil","1, Oui | 0, Non",,,,,,,y,,,,,
his_trait_aos,histoire,,radio,"Traitement d'AOS","1, Jamais | 2, Ancienne | 3, Actuelle",,,,,,"[his_diag_aos] = '1'",,,,,,
his_cox_asa,histoire,,radio,"Maladie des voies aériennes exacerbée par les inhibiteurs de COX1 ou à la ASA","1, OUI | 0, NON",,,,,,,y,,,,,
his_bronchie,histoire,,radio,Bronchiectasie,"1, OUI | 0, NON",,,,,,,y,,,,,
his_abpa,histoire,,radio,"ABPA (aspergilose broncho-pulmonaire allergique)","1, OUI | 0, NON",,,,,,,y,,,,,
his_egpa,histoire,,radio,"EGPA (granulomateuse éosinophilique avec polyangéite)","1, OUI | 0, NON",,,,,,,y,,,,,
his_autres_maladies,histoire,,text,"Autres maladies respiratoires",,,,,,,,,,,,,
his_com,histoire,COMMENTAIRES,notes,,,,,,,,,,LH,,,,
consom_tabac,consommation_tabac_alcool_et_drogues,TABAGISME,dropdown,"Statut tabagique","1, Fumeur | 2, Non-fumeur | 3, Ex-fumeur | 4, Tabagisme passif",,,,,,,y,,,,,
consom_annee_debut,consommation_tabac_alcool_et_drogues,,text,"Année de début",,,number,1900,9999,,"[consom_tabac] = '1' or [consom_tabac] = '3'",,,,,,
consom_annee_arret,consommation_tabac_alcool_et_drogues,,text,"Année d'arrêt",,,number,1900,9999,,"[consom_tabac] = '1' or [consom_tabac] = '3'",,,,,,
consom_nbre_cig,consommation_tabac_alcool_et_drogues,,text,"Nombre de cigarettes par jour",,"1 paquet canadien contient 25 cigarettes",integer,,,,"[consom_tabac] = '1' or [consom_tabac] = '3'",,,,,,
consom_pa,consommation_tabac_alcool_et_drogues,,calc,Paquets.Années,[consom_nbre_cig]/20*([consom_annee_arret]-[consom_annee_debut]),,,,,,"[consom_tabac] = '1' or [consom_tabac] = '3'",,,,,,
consom_cig_elect,consommation_tabac_alcool_et_drogues,,dropdown,"Cigarette électronique","1, Oui | 0, Non",,,,,,,y,,,,,
cosom_ecig_type,consommation_tabac_alcool_et_drogues,,radio,"Quel type de consommation?","1, Occasionnel | 2, Hebdomadaire | 3, Quotidien",,,,,,"[consom_cig_elect] = '1'",,RH,,,,
cosom_alcool,consommation_tabac_alcool_et_drogues,ALCOOL,dropdown,"Consommez-vous de l'alcool?","1, Oui | 0, Non",,,,,,,y,,,,,
cosom_alc_type,consommation_tabac_alcool_et_drogues,,radio,"Quel type de consommation?","1, Occasionnel | 2, Hebdomadaire | 3, Quotidien",,,,,,"[cosom_alcool] = '1'",,RH,,,,
consom_alc_sem,consommation_tabac_alcool_et_drogues,,text,"Nombre de consommation par semaine",,,integer,1,99,,"[cosom_alcool] = '1'",,RH,,,,
consom_cannabis,consommation_tabac_alcool_et_drogues,DROGUES,dropdown,"Consommez-vous du cannabis? ","1, Oui | 0, Non",,,,,,,y,RH,,,,
consom_drogue_usage,consommation_tabac_alcool_et_drogues,,radio,"Quel type de consommation","1, Occasionnel | 2, Hebdomadaire | 3, Quotidien",,,,,,"[consom_cannabis] = '1'",,RH,,,,
consom_nbre_joint,consommation_tabac_alcool_et_drogues,,text,"Nombre de joints par semaine",,,integer,,,,"[consom_cannabis] = '1'",,RH,,,,
consom_autre_drogue_inhal,consommation_tabac_alcool_et_drogues,,dropdown,"Consommez-vous un autre type drogue inhalée? ","1, Oui | 0, Non",,,,,,,y,RH,,,,
consom_comdrogue_inhal,consommation_tabac_alcool_et_drogues,,notes,Spécifiez,,,,,,,"[consom_autre_drogue_inhal] = '1'",,RH,,,,
consom_drogue_type,consommation_tabac_alcool_et_drogues,,dropdown,"Consommez-vous d'autres types de drogues?","1, Oui | 0, Non",,,,,,,y,RH,,,,
consom_comm_a_drogues,consommation_tabac_alcool_et_drogues,,notes,Spécifiez,,,,,,,"[consom_drogue_type] = '1'",,RH,,,,
consom_com,consommation_tabac_alcool_et_drogues,COMMENTAIRES,notes,,,,,,,,,,LH,,,,
all_pneumo_all,allergie,,checkbox,"Sensibilisation aux pneumo-allergènes","1, Selon test d'allergies | 2, Selon rapport verbal | 3, Non mesuré | 4, Pas d'allergie",,,,,,,,LH,,,,
all_type_test,allergie,,checkbox,TEST,"1, CUTANÉ | 2, SANGUIN",,,,,,"[all_pneumo_all(1)] = '1' or [all_pneumo_all(2)] = '1'",,,,,,
all_tab_cut,allergie," ",descriptive,"<div class=""rich-text-field-label""><p style=""text-align: center;"">          TEST CUTANÉ: <span style=""color: #236fa1;"">COCHEZ LES TESTS POSITIFS SEULEMENT ( ≥ 3mm)</span></p> <p style=""text-align: center;""> </p> <p style=""text-align: left;""><span style=""color: #000000;"">{all_date_cut}</span></p> <table style=""border-collapse: collapse; width: 100%; height: 105.6px;"" border=""1""> <tbody> <tr style=""height: 17.6px;""> <td style=""width: 49.2434%; height: 17.6px;"">Animaux</td> <td style=""width: 49.2434%; height: 17.6px;"">Arbres</td> </tr> <tr style=""height: 17.6px;""> <td style=""width: 49.2434%; height: 17.6px;"">{all_ani_cut}</td> <td style=""width: 49.2434%; height: 17.6px;"">{all_arb_cut}</td> </tr> <tr style=""height: 17.6px;""> <td style=""width: 49.2434%; height: 17.6px;"">Moisissures</td> <td style=""width: 49.2434%; height: 17.6px;"">Graminée</td> </tr> <tr style=""height: 17.6px;""> <td style=""width: 49.2434%; height: 17.6px;"">{all_mois_cut}</td> <td style=""width: 49.2434%; height: 17.6px;"">{all_gra_cut}</td> </tr> <tr style=""height: 17.6px;""> <td style=""width: 49.2434%; height: 17.6px;"">Acariens</td> <td style=""width: 49.2434%; height: 17.6px;"">Autres allergènes</td> </tr> <tr style=""height: 17.6px;""> <td style=""width: 49.2434%; height: 17.6px;"">{all_aca_cut}</td> <td style=""width: 49.2434%; height: 17.6px;"">{all_autres_allerg_cut}</td> </tr> </tbody> </table></div>",,,,,,,"[all_type_test(1)] = '1'",,,,,,
all_tab_sang,allergie,,descriptive,"<div class=""rich-text-field-label""><p style=""text-align: center;"">TEST SANG: <span style=""color: #236fa1;"">COCHEZ LES TESTS POSITIFS SEULEMENT (≥ 0.7 KU/L)</span></p> <p style=""text-align: left;""><span style=""color: #000000;"">{all_date_sang}</span></p> <table style=""border-collapse: collapse; width: 100%; height: 105.6px;"" border=""1""> <tbody> <tr style=""height: 17.6px;""> <td style=""width: 49.2434%; height: 17.6px;"">Animaux</td> <td style=""width: 49.2434%; height: 17.6px;"">Arbres</td> </tr> <tr style=""height: 17.6px;""> <td style=""width: 49.2434%; height: 17.6px;"">{all_ani_sang}</td> <td style=""width: 49.2434%; height: 17.6px;"">{all_arb_sang}</td> </tr> <tr style=""height: 17.6px;""> <td style=""width: 49.2434%; height: 17.6px;"">Moisissures</td> <td style=""width: 49.2434%; height: 17.6px;"">Graminée</td> </tr> <tr style=""height: 17.6px;""> <td style=""width: 49.2434%; height: 17.6px;"">{all_mois_sang}</td> <td style=""width: 49.2434%; height: 17.6px;"">{all_gra_sang}</td> </tr> <tr style=""height: 17.6px;""> <td style=""width: 49.2434%; height: 17.6px;"">Acariens</td> <td style=""width: 49.2434%; height: 17.6px;"">Autres allergènes</td> </tr> <tr style=""height: 17.6px;""> <td style=""width: 49.2434%; height: 17.6px;"">{all_aca_sang}</td> <td style=""width: 49.2434%; height: 17.6px;"">{all_autres_allerg_sang}</td> </tr> </tbody> </table></div>",,,,,,,"[all_type_test(2)] = '1'",,,,,,
all_date_cut,allergie,,text,"Date du test",,,date_ymd,,,,,,,,,,
all_ani_cut,allergie,,checkbox,ANIMAUX,"1, CHAT | 2, Chien | 3, Cheval | 4, Bovin | 5, Plumes | 6, Hamster | 7, Souris | 8, Lapin | 9, Coquerelle/Blatte",,,,,,,,,,,,
all_arb_cut,allergie,,checkbox,ARBRES,"1, Frêne | 2, Peuplier | 3, Bouleau | 4, Orme | 5, Érable | 6, Chêne | 7, Cèdre | 8, MÉLANGE D'ARBRES",,,,,,,,,,,,
all_mois_cut,allergie,,checkbox,MOISISSURES,"1, Alternaria | 2, Hormodendrum/Clasporium | 3, ASPERGILLUS FUMIGATUS | 4, Basidiomycetes | 5, Penicillium | 6, MÉLANGE DE MOISISSURES",,,,,,,,,,,,
all_gra_cut,allergie,,checkbox,"GRAMINÉES ET PLANTES","1, MÉLANGES DE GRAMINÉES | 2, Phléole | 3, Ivraie vivace | 4, MÉLANGE HERBACÉES/PLANTAIN (mauvaises herbes, herbes à poux) | 5, Armoise | 6, Plantain | 7, Lampourde",,,,,,,,,,,,
all_aca_cut,allergie,,checkbox,"ACARIENS ET POUSSIÈRES","1, D. FARINAE | 2, D. PTERONYSSINUS",,,,,,,,,,,,
all_autres_allerg_cut,allergie,,notes,"Autres Sensibilisations",,,,,,,,,LH,,,,
all_date_sang,allergie,,text,"Date du test",,,date_ymd,,,,,,,,,,
all_ani_sang,allergie,,checkbox,ANIMAUX,"1, CHAT | 2, Chien | 3, Cheval | 4, Bovin | 5, Plumes | 6, Hamster | 7, Souris | 8, Lapin | 9, Coquerelle/Blatte",,,,,,,,,,,,
all_arb_sang,allergie,,checkbox,ARBRES,"1, Frêne | 2, Peuplier | 3, Bouleau | 4, Orme | 5, Érablr | 6, Chêne | 7, Cèdre | 8, MÉLANGE D'ARBRES",,,,,,,,,,,,
all_mois_sang,allergie,,checkbox,MOISISSURES,"1, Alternaria | 2, Hormodendrum/Clasporium | 3, ASPERGILLUS FUMIGATUS | 4, Basidiomycetes | 5, Penicillium | 6, MÉLANGE DE MOISISSURES",,,,,,,,,,,,
all_gra_sang,allergie,,checkbox,"GRAMINÉES ET PLANTES","1, MÉLANGES DE GRAMINÉES | 2, Phléole | 3, Ivraie vivace | 4, MÉLANGE HERBACÉES/PLANTAIN (mauvaises herbes, herbes à poux) | 5, Armoise | 6, Plantain | 7, Lampourde",,,,,,,,,,,,
